id,title,price,town,promo_price,url
3498471,Конструктор LEGO Disney Princess Райя и Дворец сердца 43181,7 499,Санкт-Петербург и Ленинградская область,4 499,https://www.detmir.ru/product/index/id/3498471/
3596927,Конструктор LEGO Super Mario Небесный мир лакиту 71389,3 699,Санкт-Петербург и Ленинградская область,2 399,https://www.detmir.ru/product/index/id/3596927/
3597048,Конструктор LEGO Speed Champions McLaren Elva 76902,1 799,Санкт-Петербург и Ленинградская область,1 139,https://www.detmir.ru/product/index/id/3597048/
3405634,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок травологии 76384,2 799,Санкт-Петербург и Ленинградская область,1 649,https://www.detmir.ru/product/index/id/3405634/
3226627,Конструктор LEGO Technic Драгстер 42103,1 699,Санкт-Петербург и Ленинградская область,1 099,https://www.detmir.ru/product/index/id/3226627/
3596767,Конструктор LEGO Minecraft Современный домик на дереве 21174,11 499,Санкт-Петербург и Ленинградская область,6 899,https://www.detmir.ru/product/index/id/3596767/
3226604,Конструктор LEGO Friends Городская больница Хартлейк Сити 41394,5 499,Санкт-Петербург и Ленинградская область,3 389,https://www.detmir.ru/product/index/id/3226604/
3594629,Конструктор LEGO Super Heroes Бэтмен против Джокера погоня на Бэтмобиле 76180,2 799,Санкт-Петербург и Ленинградская область,2 299,https://www.detmir.ru/product/index/id/3594629/
3597019,Конструктор LEGO Ninjago Храм Бескрайнего моря 71755,9 999,Санкт-Петербург и Ленинградская область,6 079,https://www.detmir.ru/product/index/id/3597019/
3777768,Конструктор LEGO Минифигурки в непрозрачной упаковке (Сюрприз) 71031,279,Санкт-Петербург и Ленинградская область,249,https://www.detmir.ru/product/index/id/3777768/
3596800,Конструктор LEGO Friends Волшебное колесо обозрения и горка 41689,5 499,Санкт-Петербург и Ленинградская область,3 129,https://www.detmir.ru/product/index/id/3596800/
3226677,Конструктор LEGO City Great Vehicles Машина для очистки улиц 60249,749,Санкт-Петербург и Ленинградская область,519,https://www.detmir.ru/product/index/id/3226677/
3405601,Конструктор LEGO DC Super Heroes Монстр-трак Человека-Паука против Мистерио 76174,4 699,Санкт-Петербург и Ленинградская область,2 729,https://www.detmir.ru/product/index/id/3405601/
3597022,Конструктор LEGO Star Wars Имперский бронированный корвет типа Мародер 75311,3 699,Санкт-Петербург и Ленинградская область,3 299,https://www.detmir.ru/product/index/id/3597022/
3405546,Конструктор LEGO Disney Princess Книга сказочных приключений Эльзы и Нока 43189,1 699,Санкт-Петербург и Ленинградская область,1 099,https://www.detmir.ru/product/index/id/3405546/
3226709,Конструктор LEGO Ninjago Скоростные машины Джея и Ллойда 71709,2 599,Санкт-Петербург и Ленинградская область,1 739,https://www.detmir.ru/product/index/id/3226709/
3226603,Конструктор LEGO Friends Соревнование кондитеров 41393,3 599,Санкт-Петербург и Ленинградская область,2 339,https://www.detmir.ru/product/index/id/3226603/
3597053,Конструктор LEGO Jurassic World Погоня за карнотавром 76941,4 599,Санкт-Петербург и Ленинградская область,3 719,https://www.detmir.ru/product/index/id/3597053/
3244481,Конструктор LEGO DUPLO Подводный замок Ариэль 10922,2 599,Санкт-Петербург и Ленинградская область,2 049,https://www.detmir.ru/product/index/id/3244481/
3597023,Конструктор LEGO Star Wars Звездолет Бобы Фетта 75312,4 699,Санкт-Петербург и Ленинградская область,2 989,https://www.detmir.ru/product/index/id/3597023/
3142022,Конструктор LEGO DUPLO Town Пожарная машина 10901,1 499,Санкт-Петербург и Ленинградская область,969,https://www.detmir.ru/product/index/id/3142022/
3405606,Конструктор LEGO Marvel Super Heroes Тор робот 76169,999,Санкт-Петербург и Ленинградская область,899,https://www.detmir.ru/product/index/id/3405606/
3142199,Конструктор LEGO City Police Автомобиль полицейского патруля 60239,749,Санкт-Петербург и Ленинградская область,479,https://www.detmir.ru/product/index/id/3142199/
3405565,Конструктор LEGO Dots Креативный набор для праздника 41926,1 999,Санкт-Петербург и Ленинградская область,1 339,https://www.detmir.ru/product/index/id/3405565/
3405580,Конструктор LEGO City Town Дорожные пластины 60304,1 499,Санкт-Петербург и Ленинградская область,899,https://www.detmir.ru/product/index/id/3405580/
3226591,Конструктор LEGO Creator Огненный дракон 31102,1 799,Санкт-Петербург и Ленинградская область,1 139,https://www.detmir.ru/product/index/id/3226591/
3226626,Конструктор LEGO Technic Mini Claas Xerion 42102,899,Санкт-Петербург и Ленинградская область,569,https://www.detmir.ru/product/index/id/3226626/
3200882,Конструктор LEGO Disney Frozen Шкатулка Эльзы 41168,3 599,Санкт-Петербург и Ленинградская область,2 309,https://www.detmir.ru/product/index/id/3200882/
3144096,Конструктор LEGO Creator Обитатели морских глубин 31088,1 399,Санкт-Петербург и Ленинградская область,869,https://www.detmir.ru/product/index/id/3144096/
3405633,Конструктор LEGO Harry Potter Учёба в Хогвартсе Урок зельеварения 76383,2 799,Санкт-Петербург и Ленинградская область,1 719,https://www.detmir.ru/product/index/id/3405633/
3226564,Конструктор LEGO DUPLO Town Спальня 10926,1 299,Санкт-Петербург и Ленинградская область,799,https://www.detmir.ru/product/index/id/3226564/
3244577,Конструктор LEGO Super Mario Дом Марио и Йоши 71367,2 699,Санкт-Петербург и Ленинградская область,1 699,https://www.detmir.ru/product/index/id/3244577/
3405530,Конструктор LEGO DUPLO Town Фермерский трактор и животные 10950,1 599,Санкт-Петербург и Ленинградская область,1 039,https://www.detmir.ru/product/index/id/3405530/
3239914,Набор для творчества LEGO DOTS Подставка для карандашей Ананас 41906,1 699,Санкт-Петербург и Ленинградская область,1 499,https://www.detmir.ru/product/index/id/3239914/
3758560,Конструктор LEGO Star Wars Легкий имперский крейсер 75315,13 499,Санкт-Петербург и Ленинградская область,8 439,https://www.detmir.ru/product/index/id/3758560/
3405564,Конструктор LEGO Dots Хранение секретов 41925,1 299,Санкт-Петербург и Ленинградская область,1 199,https://www.detmir.ru/product/index/id/3405564/
